Weather and Climate Billion-Dollar Disasters to affect the U.S.: 1996
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Blizzard/Floods (January 1996),Winter Storm,19960101,19960131,6126.2,3003,187
Pacific Northwest Severe Flooding (February 1996),Flooding,19960207,19960212,2056.9,1008.3,9
Southern Plains Drought (Spring-Summer 1996),Drought,19960301,19960831,3654.5,1791.5,0
Hurricane Fran (September 1996),Tropical Cyclone,19960905,19960908,10014,5007,37
New England Flooding (October 1996),Flooding,19961019,19961022,1352,676,1
