Weather and Climate Billion-Dollar Disasters to affect the U.S.: 2001
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,20010406,20010411,5508.7,3094.8,3
North Central Severe Weather (May 2001),Severe Storm,20010430,20010501,1194.3,671,0
Tropical Storm Allison (June 2001),Tropical Cyclone,20010605,20010617,15084,8522,43
